INDEX,ZHATNUM,ZHATLABEL,STATE,PARTY,FIRSTNAME,LASTNAME,SERVEDCONG,INCORCOMPRACE,MEAN,SD,CFSCORE,CFSCORE.DYN,DWNOM.COMMON,DWNOM112.COMMON,DWNOM112_BSE.COMMON,NAIVEMEAN,NAIVEMEAN.all,LABEL,LABEL2
111,zhat[111],TX.inc1,TX,R,John,Cornyn,1,1,0.9386176,0.024335868,1.031127915,1.076990691,0.51,,,1.77647059,1.77647059,Cornyn (R-TX),Cornyn (R-TX)
112,zhat[112],UT.inc1,UT,R,Orrin,Hatch,1,1,0.882986,0.028207065,0.550547398,0.506468843,0.4,,,1.58031088,1.58031088,Hatch (R-UT),Hatch (R-UT)
113,zhat[113],VA.inc1,VA,D,Mark,Warner,1,1,-0.4400246,0.036935568,-0.729054204,-0.669790762,-0.227,,,-1.04469274,-1.04469274,Warner (D-VA),Warner (D-VA)
114,zhat[114],VT.inc1,VT,I,Bernie,Sanders,1,1,-1.3003367,0.046584756,-1.578546094,-1.542829519,-0.535,,,-2.32446809,-2.32446809,Sanders (I-VT),Sanders (I-VT)
115,zhat[115],WA.inc1,WA,D,Maria,Cantwell,1,1,-0.7673054,0.02558238,-1.138803986,-0.966291847,-0.311,,,-1.48022599,-1.48022599,Cantwell (D-WA),Cantwell (D-WA)
116,zhat[116],WV.inc1,WV,D,Jay,Rockefeller,1,1,-0.7252378,0.026727088,-0.487504699,-0.41966084,-0.344,,,-1.32596685,-1.32596685,Rockefeller (D-WV),Rockefeller (D-WV)
117,zhat[117],WY.inc1,WY,R,John,Barrasso,1,1,1.0495987,0.019439177,0.870032977,0.711323544,0.534,,,2.28877005,2.28877005,Barrasso (R-WY),Barrasso (R-WY)
118,zhat[118],AK.inc2,AK,D,Mark,Begich,1,1,-0.7111277,0.024713406,-1.166271431,-0.31254802,-0.258,-0.269,0.03,-1.65608466,-1.65608466,Begich (D-AK),Begich (D-AK)
119,zhat[119],AL.inc2,AL,R,Jeff,Sessions,1,1,1.0384271,0.029650432,0.909924789,0.956771797,0.533,0.519,0.029,1.95757576,1.95757576,Sessions (R-AL),Sessions (R-AL)
120,zhat[120],AR.inc2,AR,D,Mark,Pryor,1,1,-0.4754333,0.039430967,-0.717183859,0.228809854,-0.211,-0.217,0.012,-0.8988764,-0.8988764,Pryor (D-AR),Pryor (D-AR)
121,zhat[121],AZ.inc2,AZ,R,Jon,Kyl,1,1,0.9493524,0.021666198,0.925033553,0.78676665,0.554,,,1.80225989,1.80225989,Kyl (R-AZ),Kyl (R-AZ)
